times,samples,vals,mins,maxes,means,stds,p01s,p05s,p16s,p50s,p84s,p95s,p99s,midvals
63201600.0,2633,29.0946,28.428,29.67,29.0946,0.217774,28.704,28.704,28.842,29.118,29.394,29.394,29.532,28.842
63288000.0,2633,29.1673,28.428,29.808,29.1673,0.211292,28.704,28.842,28.98,29.118,29.394,29.532,29.532,29.256
63374400.0,2634,29.3821,28.842,29.946,29.3821,0.173707,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.256
63460800.0,2635,29.2929,28.704,29.808,29.2929,0.158178,28.9458,28.98,29.118,29.256,29.394,29.532,29.67,29.256
63547200.0,2634,29.3481,28.704,29.946,29.3481,0.180749,28.98,29.118,29.118,29.394,29.532,29.67,29.808,29.256
63633600.0,2634,29.5294,28.98,30.084,29.5294,0.222968,29.118,29.118,29.256,29.532,29.808,29.808,29.946,29.67
63720000.0,2634,29.1338,28.566,29.808,29.1338,0.165723,28.704,28.842,28.98,29.118,29.256,29.394,29.532,29.256
63806400.0,2634,29.2824,28.704,29.946,29.2824,0.154921,28.98,28.98,29.118,29.256,29.394,29.532,29.67,29.532
63892800.0,2634,29.2685,28.842,29.808,29.2685,0.151451,28.98,28.98,29.118,29.256,29.394,29.532,29.532,29.256
63979200.0,2633,29.3359,28.842,29.946,29.3359,0.186699,28.98,28.98,29.118,29.394,29.532,29.67,29.808,29.256
64065600.0,2635,29.3382,28.842,29.808,29.3382,0.158425,28.98,29.118,29.118,29.394,29.532,29.532,29.67,29.532
64152000.0,2632,29.108,28.566,29.67,29.108,0.158296,28.704,28.842,28.98,29.118,29.256,29.394,29.532,28.842
64238400.0,2634,29.2793,28.704,29.808,29.2793,0.189736,28.842,28.98,29.118,29.256,29.532,29.532,29.67,28.98
64324800.0,2634,29.2687,28.704,29.808,29.2687,0.189152,28.842,28.98,29.118,29.256,29.394,29.532,29.67,28.98
64411200.0,2634,29.3929,28.842,30.084,29.3929,0.189348,28.98,29.118,29.256,29.394,29.532,29.67,29.808,28.98
64497600.0,2634,29.3649,28.842,29.946,29.3649,0.171344,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.532
64584000.0,2634,29.3296,28.842,29.67,29.3296,0.151812,28.98,29.118,29.118,29.394,29.532,29.532,29.67,29.532
64670400.0,2634,29.3588,28.842,29.946,29.3588,0.181893,28.98,29.118,29.118,29.394,29.532,29.67,29.808,29.256
64756800.0,2634,29.2977,28.704,29.808,29.2977,0.147351,28.98,29.118,29.118,29.256,29.394,29.532,29.5676,29.256
64843200.0,2634,29.2967,28.566,29.808,29.2967,0.193923,28.842,28.98,29.118,29.256,29.532,29.532,29.67,29.256
64929600.0,2634,29.1292,28.566,29.67,29.1292,0.200998,28.704,28.842,28.98,29.118,29.394,29.394,29.532,29.118
65016000.0,2634,29.3275,28.704,29.808,29.3275,0.156917,28.98,29.118,29.118,29.394,29.532,29.532,29.67,29.532
65102400.0,2634,29.378,28.704,29.946,29.378,0.178166,28.98,29.118,29.256,29.394,29.532,29.67,29.808,28.98
65188800.0,2635,29.341,28.842,29.946,29.341,0.159167,28.98,29.118,29.118,29.394,29.532,29.532,29.67,29.118
65275200.0,2634,29.3088,28.842,29.67,29.3088,0.153672,28.98,29.118,29.118,29.256,29.394,29.532,29.67,29.532
65361600.0,2634,29.3696,28.842,29.946,29.3696,0.175408,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.256
65448000.0,2634,29.3388,28.704,29.808,29.3388,0.146982,28.98,29.118,29.256,29.394,29.532,29.532,29.67,29.394
65534400.0,2634,29.3558,28.842,29.808,29.3558,0.155483,28.98,29.118,29.256,29.394,29.532,29.67,29.67,29.394
65620800.0,2634,29.5099,28.98,30.084,29.5099,0.180343,29.118,29.256,29.394,29.532,29.67,29.808,29.808,29.394
65707200.0,2634,29.1855,28.704,29.946,29.1855,0.179052,28.842,28.98,28.98,29.118,29.394,29.532,29.67,29.256
65793600.0,2635,29.2919,28.704,29.808,29.2919,0.190616,28.842,28.98,29.118,29.256,29.532,29.532,29.67,29.394
65880000.0,2634,29.2134,28.704,29.67,29.2134,0.145101,28.842,28.98,29.118,29.256,29.394,29.394,29.532,29.532
65966400.0,2634,29.2367,28.704,29.808,29.2367,0.197529,28.842,28.842,28.98,29.256,29.394,29.532,29.67,28.98
66052800.0,2634,29.3592,28.842,29.946,29.3592,0.175923,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.67
66139200.0,2634,29.2971,28.704,29.67,29.2971,0.153116,28.9444,28.98,29.118,29.256,29.394,29.532,29.67,29.532
66225600.0,2634,29.3265,28.842,29.808,29.3265,0.151253,28.98,29.118,29.118,29.394,29.532,29.532,29.67,29.256
66312000.0,2634,29.35,28.842,29.808,29.35,0.167103,28.98,29.118,29.256,29.394,29.532,29.67,29.67,29.256
66398400.0,2635,29.3708,28.704,29.946,29.3708,0.202763,28.842,28.98,29.118,29.394,29.532,29.67,29.808,29.394
66484800.0,2634,29.3613,28.704,29.946,29.3613,0.213832,28.842,28.98,29.118,29.394,29.532,29.67,29.808,29.394
66571200.0,2634,29.3563,28.842,29.808,29.3563,0.152324,28.98,29.118,29.256,29.394,29.532,29.532,29.67,29.118
66657600.0,2634,29.4293,28.842,29.946,29.4293,0.163183,29.0824,29.118,29.256,29.394,29.532,29.67,29.808,29.118
66744000.0,2634,29.4665,28.842,29.946,29.4665,0.159323,29.118,29.256,29.256,29.394,29.67,29.67,29.808,29.118
66830400.0,2634,29.4048,28.704,29.946,29.4048,0.161259,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.118
66916800.0,2634,29.3435,28.842,29.946,29.3435,0.163269,28.98,29.118,29.256,29.394,29.532,29.67,29.67,29.67
67003200.0,2635,29.4083,28.842,30.084,29.4083,0.166408,28.98,29.118,29.256,29.394,29.532,29.67,29.808,29.394
67089600.0,2634,29.5343,28.98,30.084,29.5343,0.165607,29.118,29.256,29.394,29.532,29.67,29.808,29.946,29.532
67176000.0,2632,29.7197,28.842,31.05,29.7197,0.288357,29.0796,29.256,29.394,29.808,29.946,30.084,30.222,29.946
67262400.0,2632,29.5721,0.0,33.12,29.5721,2.48729,19.044,29.67,29.67,29.808,30.084,30.084,30.222,29.808
67348800.0,2633,29.8749,29.394,30.36,29.8749,0.151053,29.532,29.67,29.67,29.808,30.084,30.084,30.222,30.084
