times,samples,vals,mins,maxes,means,stds,p01s,p05s,p16s,p50s,p84s,p95s,p99s,midvals
63201600.0,10535,23.3661,23.3641,23.5139,23.3661,0.0172095,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
63288000.0,10536,23.3659,23.3641,23.5139,23.3659,0.0164064,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
63374400.0,10536,23.3656,23.3641,23.5139,23.3656,0.0147356,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
63460800.0,10536,23.3654,23.3641,23.5139,23.3654,0.0137823,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
63547200.0,10537,23.3652,23.3641,23.5139,23.3652,0.012838,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
63633600.0,10536,23.3657,23.3641,23.5139,23.3657,0.0152913,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
63720000.0,10536,23.366,23.3641,23.5139,23.366,0.0168434,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.5139
63806400.0,10536,23.3667,23.3641,23.5139,23.3667,0.0194079,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
63892800.0,10537,23.3657,23.3641,23.5139,23.3657,0.0154936,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
63979200.0,10535,23.3654,23.3641,23.5139,23.3654,0.0138586,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64065600.0,10537,23.3656,23.3641,23.5139,23.3656,0.0150155,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
64152000.0,10535,23.3654,23.3641,23.5139,23.3654,0.013858,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64238400.0,10536,23.3663,23.3641,23.5139,23.3663,0.0177425,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
64324800.0,10537,23.3665,23.3641,23.5139,23.3665,0.0185387,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
64411200.0,10535,23.3654,23.3641,23.5139,23.3654,0.0139339,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64497600.0,10537,23.3654,23.3641,23.5139,23.3654,0.0137823,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64584000.0,10536,23.3652,23.3641,23.5139,23.3652,0.0126735,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64670400.0,10536,23.3652,23.3641,23.5139,23.3652,0.0125075,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64756800.0,10537,23.3657,23.3641,23.5139,23.3657,0.0153586,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
64843200.0,10536,23.3653,23.3641,23.5139,23.3653,0.0130009,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
64929600.0,10537,23.3661,23.3641,23.5139,23.3661,0.0170271,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
65016000.0,10536,23.366,23.3641,23.5139,23.366,0.0167206,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
65102400.0,10536,23.3653,23.3641,23.5139,23.3653,0.0132399,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
65188800.0,10537,23.365,23.3641,23.5139,23.365,0.0116367,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
65275200.0,10536,23.3655,23.3641,23.5139,23.3655,0.0145215,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
65361600.0,10537,23.3648,23.3641,23.5139,23.3648,0.0102924,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
65448000.0,10536,23.3656,23.3641,23.5139,23.3656,0.0149465,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.5139,23.3641
65534400.0,10536,23.365,23.3641,23.5139,23.365,0.0116367,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641,23.3641
