times,samples,vals,mins,maxes,means,stds,p01s,p05s,p16s,p50s,p84s,p95s,p99s,midvals
63201600.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63288000.0,2633,1.64771,1.58,1.6482,1.64771,0.00577140100989,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63374400.0,2633,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63460800.0,2536,1.64823,1.6482,1.7164,1.64823,0.00135375019482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63547200.0,1195,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63633600.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63720000.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63806400.0,21802,1.64647,-8.65,1.9892,1.64647,0.146816064395,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63892800.0,2632,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
63979200.0,2634,1.64877,1.6482,2.0574,1.64877,0.0146665882805,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64065600.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64152000.0,2632,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64238400.0,12329,1.64859,1.58,2.0574,1.64859,0.0127920776986,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64324800.0,27600,1.6478,1.58,1.7164,1.6478,0.00536200035897,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64411200.0,2634,1.64864,1.6482,2.0574,1.64864,0.0123868845561,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64497600.0,18340,1.6502,1.6482,2.0574,1.6502,0.0172358975832,1.6482,1.6482,1.6482,1.6482,1.6482,1.7164,1.7164,1.6482
64584000.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64670400.0,8058,1.6494,1.6482,2.0574,1.6494,0.0209883499464,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.7164,1.6482
64756800.0,35987,1.64844,1.6482,1.7164,1.64844,0.00406124918451,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64843200.0,2634,1.64874,1.6482,2.0574,1.64874,0.0139897579094,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
64929600.0,19444,1.64859,1.58,2.0574,1.64859,0.013291239798,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65016000.0,29524,1.648,1.58,1.7164,1.648,0.00395352094161,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65102400.0,6237,1.64864,1.6482,2.0574,1.64864,0.0123873982953,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65188800.0,2635,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65275200.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65361600.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65448000.0,26982,1.66158,1.6482,2.0574,1.66158,0.0302610048883,1.6482,1.6482,1.6482,1.6482,1.7164,1.7164,1.7164,1.6482
65534400.0,7930,1.64879,1.6482,1.7164,1.64879,0.00632200905855,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.7164,1.6482
65620800.0,1916,1.64824,1.6482,1.7164,1.64824,0.001557662122,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65707200.0,40387,1.65219,1.58,2.0574,1.65219,0.020595508653,1.6482,1.6482,1.6482,1.6482,1.6482,1.7164,1.7164,1.6482
65793600.0,15698,1.60437,1.58,1.9892,1.60437,0.0350292808413,1.58,1.58,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65880000.0,37361,1.64049,1.58,1.9892,1.64049,0.0250109214835,1.58,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
65966400.0,27930,1.64544,1.58,1.9892,1.64544,0.0184186889972,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66052800.0,13904,1.63974,1.58,2.0574,1.63974,0.0271933779535,1.58,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66139200.0,26266,1.6482,1.58,1.6482,1.6482,0.000469806063113,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66225600.0,2634,1.64872,1.6482,1.9892,1.64872,0.0132784223512,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66312000.0,2634,1.64797,1.58,1.6482,1.64797,0.00397973828158,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66398400.0,2635,1.64732,1.58,1.6482,1.64732,0.00769685650129,1.58,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66484800.0,2634,1.64753,1.58,1.6482,1.64753,0.00674231550806,1.6306044,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66571200.0,2634,1.6482,1.6482,1.6482,1.6482,3.50952156225e-08,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66657600.0,24757,1.64936,1.6482,2.0574,1.64936,0.0201908815016,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66744000.0,17194,1.64867,1.6482,2.0574,1.64867,0.0129152075366,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
66830400.0,42145,1.64822,1.6482,1.7164,1.64822,0.00115062811272,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482,1.6482
