times,samples,vals,mins,maxes,means,stds,p01s,p05s,p16s,p50s,p84s,p95s,p99s,midvals
63201600.0,2634,29.071,28.4375,29.6875,29.071,0.222894680214,28.75,28.75,28.75,29.0625,29.375,29.375,29.375,28.75
63288000.0,2633,29.0615,28.4375,29.6875,29.0615,0.237427725036,28.4375,28.75,28.75,29.0625,29.375,29.375,29.375,29.0625
63374400.0,2633,29.2797,28.75,29.6875,29.2797,0.162038950778,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
63460800.0,2536,29.2776,28.75,29.6875,29.2776,0.158201172019,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
63547200.0,1195,29.2911,28.75,29.6875,29.2911,0.145981413782,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.5775,29.375
63633600.0,2634,29.3703,28.75,29.6875,29.3703,0.16512078777,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.6875,29.375
63720000.0,2634,29.039,28.4375,29.375,29.039,0.151994071319,28.75,28.75,29.0625,29.0625,29.0625,29.375,29.375,29.0625
63806400.0,21802,29.1693,-40.0,29.6875,29.1693,0.999190794503,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.375,29.375
63892800.0,2632,29.2587,28.75,29.6875,29.2587,0.160335197559,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
63979200.0,2634,29.2592,28.75,29.6875,29.2592,0.168780693823,28.75,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.0625
64065600.0,2634,29.2858,28.75,29.6875,29.2858,0.163534193596,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64152000.0,2632,29.072,28.4375,29.375,29.072,0.168033981291,28.75,28.75,29.0625,29.0625,29.2025,29.375,29.375,29.0625
64238400.0,12329,29.1683,28.75,29.6875,29.1683,0.191149701012,28.75,29.0625,29.0625,29.375,29.375,29.6875,29.6875,29.375
64324800.0,27600,29.2201,28.4375,29.6875,29.2201,0.194280503325,28.75,28.75,29.0625,29.0625,29.375,29.375,29.6875,29.0625
64411200.0,2634,29.3049,28.75,29.6875,29.3049,0.165681469732,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64497600.0,18340,29.3355,28.75,29.6875,29.3355,0.157219562866,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64584000.0,2634,29.3038,28.75,29.6875,29.3038,0.155881896837,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64670400.0,8058,29.2713,28.75,29.6875,29.2713,0.164576389018,28.75,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.0625
64756800.0,35987,29.2613,28.75,29.6875,29.2613,0.162730798157,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64843200.0,2634,29.2431,28.75,29.6875,29.2431,0.18534267918,28.75,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
64929600.0,19444,29.0524,28.4375,29.6875,29.0524,0.212783243785,28.75,28.75,28.75,29.0625,29.375,29.375,29.375,29.375
65016000.0,29524,29.2748,28.75,29.6875,29.2748,0.156028919122,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.0625
65102400.0,6237,29.2895,28.75,29.6875,29.2895,0.166060207841,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
65188800.0,2635,29.3292,28.75,29.6875,29.3292,0.150782547754,29.0625,29.0625,29.0625,29.375,29.375,29.6875,29.6875,29.0625
65275200.0,2634,29.2832,28.75,29.6875,29.2832,0.160471212671,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
65361600.0,2634,29.2857,28.75,29.6875,29.2857,0.167388954328,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,28.75
65448000.0,26982,29.3111,28.75,29.6875,29.3111,0.149012513131,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.375
65534400.0,7930,29.3212,29.0625,29.6875,29.3212,0.150279042136,29.0625,29.0625,29.0625,29.375,29.375,29.6875,29.6875,29.375
65620800.0,1916,29.3708,28.75,29.6875,29.3708,0.149694007801,29.0625,29.0625,29.375,29.375,29.375,29.6875,29.6875,29.6875
65707200.0,40387,29.1306,28.75,29.6875,29.1306,0.163492649021,28.75,29.0625,29.0625,29.0625,29.375,29.375,29.375,29.0625
